InspeksiID,Tanggal,Bulan,NamaBulan,EstateKode,Estate,Wilayah,StatusKebun,Afdeling,BlokID,LuasHancak_Ha,PemanenID,NamaPemanen,MasaKerjaBulan,KelompokMasaKerja,StatusKaryawan,Mandor,Asisten,InspekturSQA,BrondolanTidakTerkutip,BuahMatangTertinggal,BuahMentahDipanen,MutuPotongTangkai,PelepahSengkleh,SusunanPelepah,PiringanBersih,GawanganBersih,PasarPikulBersih,KerapianTPH,SkorTotal,Grade,Denda_Rp,CurahHujanBulan_mm,TindakanKorektif,StatusVerifikasi
MH-00001,2026-01-20,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-017,23.3,PMN-0007,Ratna Sembiring,23,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,17.0,12.8,8.7,8.8,8.5,8.7,9.0,4.5,4.5,4.1,86.6,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00002,2026-01-20,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-002,24.3,PMN-0002,Budi Manurung,50,> 12 bulan,BHL,Iwan Harahap,Dedi Halim,Ratna Kusumaningrum,16.1,12.8,8.5,8.7,8.3,8.4,8.3,4.3,4.5,4.4,84.3,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00003,2026-01-20,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-005,16.8,PMN-0012,Krisna Butar-butar,18,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,16.8,13.6,9.0,8.6,9.2,9.2,8.7,4.6,4.1,4.1,87.9,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00004,2026-01-20,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-003,17.3,PMN-0008,Bambang Utomo,62,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Yanuar Santika,16.4,12.4,8.6,9.0,8.3,8.4,9.0,4.3,4.3,4.4,85.1,B,0,391.2,Pengarahan ringan,Menunggu verifikasi
MH-00005,2026-01-20,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-006,19.9,PMN-0021,Fajar Hutapea,172,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,16.0,13.0,8.6,9.2,9.1,8.4,8.4,4.3,4.5,4.3,85.8,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00006,2026-01-20,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-021,17.4,PMN-0006,Wulan Kurniawan,97,> 12 bulan,SKU,Endang Manurung,Dedi Halim,Hendra Sitompul,16.2,13.7,8.6,8.7,9.0,9.2,8.4,4.4,4.2,4.2,86.6,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00007,2026-01-13,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-009,21.6,PMN-0015,Budi Sudarmono,31,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Tri Wibisono,18.3,13.1,8.7,8.3,8.9,8.1,8.5,4.2,4.6,4.2,86.9,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00008,2026-01-13,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-016,16.2,PMN-0025,Nasrul Damanik,16,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,18.2,13.2,8.3,8.3,8.4,8.6,8.9,4.2,4.4,4.3,86.8,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00009,2026-01-13,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-019,17.6,PMN-0022,Imam Purba,6,6-12 bulan,SKU,Endang Manurung,Dedi Halim,Dewi Lestari,16.8,11.4,7.8,8.0,8.2,7.7,8.4,3.9,4.1,4.2,80.5,B,0,391.2,Pengarahan ringan,Menunggu verifikasi
MH-00010,2026-01-13,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-021,17.1,PMN-0023,Paiman Sagala,1,< 6 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,13.3,10.2,8.2,7.2,7.6,7.3,7.9,3.6,4.0,4.0,73.3,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
