InspeksiID,Tanggal,Bulan,NamaBulan,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,UmurTanaman,SPH,JenisTanah,Topografi,Asisten,Mandor,PemeriksaEPR,LuasInspeksi_Ha,PokokSampel,BrondolanTidakTerkutip_Butir,Brondolan_ButirPerPokok,StandarBrondolan_ButirPerPokok,DeviasiBrondolan,BuahMatangTidakDipanen_Jjg,JanjangTertinggalDiTPH,JanjangTertinggal_PerHa,BuahMentahDipanen_Jjg,TangkaiPanjang_Jjg,BJR_Kg,LossesBrondolan_KgPerHaBulan,LossesJanjang_KgPerHaBulan,EstimasiLosses_KgPerHaBulan,ProduksiPotensi_KgPerHaBulan,Losses_PersenTerhadapProduksi,EstimasiLosses_Kg,EstimasiKerugian_Rp,CurahHujanBulan_mm,Status,KategoriTemuan,TindakLanjut
LP-00001,2026-03-27,3,Mar,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,143,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Joko Sitompul,2.0,30,69,2.29,2.0,0.29,0,0,0.0,1,0,15.7,16.4,0.0,16.4,2250.0,0.73,484.7,1427591,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00002,2026-04-27,4,Apr,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,143,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Nanda Ginting,2.0,50,66,1.31,2.0,-0.69,0,0,0.0,1,3,15.7,9.4,0.0,9.4,2250.0,0.42,277.2,818975,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00003,2026-05-11,5,Mei,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,143,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Dedi Sianturi,2.0,25,66,2.66,2.0,0.66,0,0,0.0,2,1,15.7,19.0,0.0,19.0,2250.0,0.85,563.0,1679429,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00004,2026-05-05,5,Mei,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,132,Podsolik Merah Kuning,Datar,Dedi Halim,Iwan Harahap,Irwan Suhendra,2.0,30,98,3.25,2.0,1.25,0,0,0.0,2,4,20.4,21.4,0.0,21.4,1833.0,1.17,607.0,1810906,261.2,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00005,2026-06-10,6,Jun,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,19,132,Podsolik Merah Kuning,Datar,Dedi Halim,Iwan Harahap,Hadi Simanjuntak,2.0,25,37,1.49,2.0,-0.51,0,0,0.0,2,4,20.4,9.8,0.0,9.8,1833.0,0.54,278.3,852517,252.7,Sesuai Standar,Minor,Monitoring rutin
LP-00006,2026-03-04,3,Mar,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,130,Mineral,Datar,Dedi Halim,Endang Manurung,Kasno Tarigan,2.0,25,72,2.88,2.0,0.88,0,0,0.0,1,3,11.9,18.7,0.0,18.7,2333.0,0.8,488.6,1439186,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00007,2026-04-18,4,Apr,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,10,130,Mineral,Datar,Dedi Halim,Endang Manurung,Bayu Saragih,2.0,50,192,3.83,2.0,1.83,1,0,0.5,1,2,11.9,24.9,29.8,54.6,2333.0,2.34,1426.2,4213011,382.8,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00008,2026-01-20,1,Jan,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,10,140,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Rudi Dalimunthe,2.0,30,80,2.68,2.0,0.68,0,0,0.0,0,1,11.9,18.8,0.0,18.8,2333.0,0.8,570.3,1648007,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00009,2026-02-15,2,Feb,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,10,140,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Tono Sagala,2.0,25,57,2.3,2.0,0.3,1,0,0.5,0,1,11.9,16.1,29.8,45.9,2333.0,1.97,1393.8,4015207,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00010,2026-03-23,3,Mar,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,10,140,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Zulkifli Sagala,2.0,30,82,2.72,2.0,0.72,0,0,0.0,1,3,11.9,19.0,0.0,19.0,2333.0,0.82,578.8,1704948,398.3,Sesuai Standar,Minor,Monitoring rutin
