PemanenID,NamaPemanen,EstateKode,Estate,Wilayah,Afdeling,Mandor,Asisten,TanggalMasuk,MasaKerjaBulan,StatusKaryawan,HancakHa
PMN-0001,Priyo Rachman,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2026-06-28,1,BHL,24.3
PMN-0002,Budi Manurung,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2022-06-19,50,BHL,24.3
PMN-0003,Darto Silalahi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Endang Manurung,Dedi Halim,2026-04-07,3,SKU,15.4
PMN-0004,Deni Wibowo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2024-07-02,25,SKU,18.0
PMN-0005,Zainal Sianturi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2026-02-18,5,BHL,21.6
PMN-0006,Wulan Kurniawan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Endang Manurung,Dedi Halim,2018-07-24,97,SKU,17.4
PMN-0007,Ratna Sembiring,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2024-08-27,23,SKU,23.3
PMN-0008,Bambang Utomo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2021-06-16,62,SKU,17.3
PMN-0009,Firman Rachman,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Endang Manurung,Dedi Halim,2023-08-16,36,SKU,24.9
PMN-0010,Usman Harahap,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2015-03-16,138,SKU,25.4
PMN-0011,Hendra Sanjaya,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2013-03-05,163,BHL,22.7
PMN-0012,Krisna Butar-butar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2025-01-28,18,SKU,16.8
PMN-0013,Wardi Prasetyo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2015-10-27,131,SKU,14.9
PMN-0014,Mulyadi Pratama,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Endang Manurung,Dedi Halim,2025-12-25,7,SKU,22.1
PMN-0015,Budi Sudarmono,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2024-01-01,31,BHL,21.6
PMN-0016,Zulkifli Siregar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2015-04-21,137,SKU,19.3
PMN-0017,Usman Mangunsong,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2021-04-10,64,SKU,14.8
PMN-0018,Jumadi Sitompul,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Endang Manurung,Dedi Halim,2025-09-14,10,SKU,23.8
PMN-0019,Ade Anggara,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2016-09-21,120,SKU,25.7
PMN-0020,Oki Sembiring,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2013-08-03,158,SKU,25.6
PMN-0021,Fajar Hutapea,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2012-05-25,172,SKU,19.9
PMN-0022,Imam Purba,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Endang Manurung,Dedi Halim,2026-01-18,6,SKU,17.6
PMN-0023,Paiman Sagala,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2026-07-01,1,SKU,17.1
PMN-0024,Candra Nugroho,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2015-05-22,136,SKU,21.5
PMN-0025,Nasrul Damanik,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Teguh Sagala,Dedi Halim,2025-03-13,16,SKU,16.2
PMN-0026,Marni Utomo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Iwan Harahap,Dedi Halim,2024-12-13,19,SKU,18.6
PMN-0027,Bayu Lubis,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2021-10-23,58,SKU,24.2
PMN-0028,Feri Adiputra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2017-08-08,109,BHL,23.6
PMN-0029,Wagimin Sudarmono,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2022-11-19,45,SKU,24.0
PMN-0030,Agus Yusril,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Yusuf Nugroho,Wulan Hutapea,2026-05-23,2,BHL,16.1
PMN-0031,Yanto Fauzi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2024-02-29,29,SKU,19.9
PMN-0032,Jumadi Nasution,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2025-12-08,7,SKU,14.5
PMN-0033,Deni Firdaus,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2013-04-07,162,BHL,15.5
PMN-0034,Lukman Manurung,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2024-11-25,20,SKU,15.3
PMN-0035,Yuli Anggara,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2023-12-06,32,SKU,22.6
PMN-0036,Fajar Hutapea,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2026-03-23,4,SKU,15.2
PMN-0037,Zainal Dalimunthe,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Yusuf Nugroho,Wulan Hutapea,2016-02-06,127,BHL,25.6
PMN-0038,Eko Nugroho,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Yusuf Nugroho,Wulan Hutapea,2020-09-07,71,BHL,24.3
PMN-0039,Darto Sagala,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2021-04-17,64,SKU,18.9
PMN-0040,Yuli Sinaga,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2015-07-24,134,SKU,19.5
PMN-0041,Bayu Butar-butar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2016-02-21,127,BHL,15.4
PMN-0042,Nurdin Lubis,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Yusuf Nugroho,Wulan Hutapea,2019-09-17,83,SKU,22.1
PMN-0043,Kurnia Damanik,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2025-12-25,7,SKU,21.9
PMN-0044,Tono Barus,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2026-04-21,3,SKU,23.0
PMN-0045,Sutrisno Silalahi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Gilang Pratama,Wulan Hutapea,2014-02-12,151,SKU,18.0
PMN-0046,Oki Ramadhan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2023-05-05,39,SKU,18.3
PMN-0047,Fajar Hutapea,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Maman Gunadi,Wulan Hutapea,2019-04-19,88,SKU,15.3
PMN-0048,Endang Panjaitan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,B,Yusuf Nugroho,Wulan Hutapea,2026-06-15,1,BHL,15.2
PMN-0049,Dewi Tarigan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Slamet Riyadi,Yanuar Santika,2026-01-30,6,BHL,14.8
PMN-0050,Ratna Maulana,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2020-03-03,78,SKU,25.7
PMN-0051,Wagimin Sanjaya,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2025-04-20,15,SKU,19.7
PMN-0052,Parjono Pratama,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2026-02-18,5,SKU,18.7
PMN-0053,Lestari Nasution,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2024-11-26,20,SKU,21.5
PMN-0054,Gilang Mangunsong,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2024-10-09,22,BHL,17.8
PMN-0055,Tono Butar-butar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Slamet Riyadi,Yanuar Santika,2026-05-31,2,SKU,14.7
PMN-0056,Siti Sagala,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2026-06-12,1,SKU,17.7
PMN-0057,Tono Sianturi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2016-09-21,120,SKU,22.1
PMN-0058,Marni Butar-butar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2026-02-14,5,SKU,20.4
PMN-0059,Ade Effendi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2024-10-05,22,SKU,22.5
PMN-0060,Ahmad Ginting,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2016-02-03,127,SKU,15.6
PMN-0061,Firman Sanjaya,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2026-05-17,2,SKU,24.9
PMN-0062,Zulkifli Santoso,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2018-02-19,102,SKU,23.9
PMN-0063,Priyo Santoso,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2024-09-03,23,SKU,18.3
PMN-0064,Zulkifli Effendi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Suwarno Prayitno,Yanuar Santika,2026-02-09,5,BHL,25.4
PMN-0065,Ahmad Setiawan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Slamet Riyadi,Yanuar Santika,2017-12-08,105,SKU,15.2
PMN-0066,Oki Kurniawan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Slamet Riyadi,Yanuar Santika,2025-08-24,11,SKU,14.2
PMN-0067,Rudi Nasution,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2025-12-16,7,SKU,23.6
PMN-0068,Tono Hutapea,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Slamet Riyadi,Yanuar Santika,2025-11-18,8,BHL,23.1
PMN-0069,Tarno Saputra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,C,Rudi Hartanto,Yanuar Santika,2024-09-25,22,SKU,14.2
PMN-0070,Hadi Santoso,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2024-09-28,22,SKU,21.6
PMN-0071,Endang Anggara,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Deni Saputra,Bagas Alkhairi,2025-03-28,16,BHL,17.3
