SortasiID,Tanggal,Bulan,NamaBulan,PKS,Wilayah,EstateKode,EstateAsal,Afdeling,StatusKebun,NoKendaraan,Supir,JumlahJanjang,Berat_Ton,JanjangMatang_Persen,JanjangMentah_Persen,JanjangLewatMatang_Persen,JanjangKosong_Persen,TangkaiPanjang_Persen,Brondolan_Kg,RestanJam,ALB_Persen,GradeTBS,Penalti_Rp,PetugasSortasi
SRT-000001,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 4421 BK,Tarno Mahendra,612,7.48,93.6,2.3,3.1,0.9,1.7,574,8.2,3.06,A,0,Siti Silalahi
SRT-000002,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 7632 AC,Fajar Simanjuntak,756,8.77,95.0,1.8,3.2,0.0,2.9,733,12.3,3.02,A,0,Firman Sianturi
SRT-000003,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 4371 FF,Untung Sagala,492,6.88,91.9,4.2,3.7,0.2,1.7,427,12.0,2.82,B,380861,Hendra Rachman
SRT-000004,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 6373 BF,Agus Suhendra,354,6.9,96.4,0.7,1.8,1.1,2.7,640,12.5,3.27,A,0,Nanda Yusril
SRT-000005,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 8369 BD,Kasno Dalimunthe,577,7.89,92.5,2.1,5.0,0.5,3.0,550,15.5,3.43,A,0,Ade Butar-butar
SRT-000006,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,C,Inti,KH 6463 BD,Imam Simanjuntak,494,8.92,93.7,0.0,5.5,0.8,3.6,562,12.1,3.26,A,0,Priyo Anggara
SRT-000007,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,F,Inti,KH 8111 DC,Parjono Mangunsong,530,8.37,95.8,2.5,1.0,0.8,2.8,762,18.2,3.67,B,690438,Jefri Damanik
SRT-000008,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 6647 BA,Kasno Yusril,386,5.87,92.2,2.7,5.0,0.0,2.4,499,9.0,2.79,A,0,Krisna Mangunsong
SRT-000009,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 7520 BJ,Wagimin Handoko,605,7.92,90.9,2.8,5.4,0.9,2.4,673,6.9,2.56,A,0,Mulyadi Panjaitan
SRT-000010,2026-01-01,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 3187 HG,Wulan Wijaya,526,7.56,92.4,2.5,4.5,0.5,0.8,596,17.3,3.59,A,0,Budi Sanjaya
